pointid,ph_cacl2,ph_h20,ec,oc,caco3,p,n,k,Rel_soil_fertility_category
46542614,3,3,1,1,1,0,1,0,1
46562632,3,3,0,0,0,0,0,0,1
46562646,1,1,1,0,1,0,1,0,0
46582638,4,4,1,0,1,0,0,0,2
46602618,3,3,1,1,0,0,1,0,1
46622648,1,1,1,1,0,0,1,0,0
46642626,3,3,0,0,1,2,0,0,1
46682636,4,4,1,1,1,0,1,0,2
46722638,1,1,0,1,1,0,1,0,0
46722642,1,1,0,0,1,1,1,0,0
46762666,0,0,0,2,0,0,1,0,0
46782664,0,0,1,2,0,0,2,0,0
46802648,0,0,0,2,1,1,2,0,0
46842660,0,0,0,2,1,1,2,1,0
46862662,3,3,0,0,0,0,0,0,1
46882650,3,3,1,0,0,4,0,2,1
46882664,2,1,1,0,1,0,0,0,1
46882668,0,0,0,2,1,1,2,0,0
46982642,0,0,1,3,0,1,2,1,0
46982660,1,0,1,1,1,0,1,1,0
47002640,0,0,1,2,0,1,2,0,0
47022632,1,0,1,4,0,0,4,0,0
47022650,1,1,1,2,1,0,2,0,0
47042630,0,0,1,2,0,1,2,0,0
47042658,0,0,0,2,1,1,2,0,0
47082630,0,0,0,2,0,1,2,0,0
46022704,0,0,0,2,0,1,2,0,0
46042706,2,2,1,0,1,0,1,0,1
46102726,3,3,1,1,0,1,1,1,1
46142734,1,1,0,2,0,0,2,0,0
46182714,3,3,1,1,0,0,2,0,1
46202682,0,0,0,1,0,0,1,0,0
46222728,2,2,2,3,0,2,4,1,1
46242712,0,0,1,3,1,3,2,0,0
46262660,0,0,0,2,1,1,2,1,0
46282726,0,0,2,3,0,2,3,1,0
46302682,0,0,0,2,1,1,2,0,0
46362688,0,0,1,4,1,1,3,1,0
46382686,3,3,1,0,0,0,1,0,1
46402674,2,2,1,0,1,0,0,0,1
46402688,3,3,2,1,0,0,2,0,1
46422672,1,1,2,1,1,3,1,1,0
46422682,3,3,1,0,0,0,1,0,1
46422690,0,0,1,3,1,0,3,1,0
46442684,0,1,0,1,0,0,0,0,0
46442692,0,1,1,2,0,2,2,1,0
46442702,0,1,0,2,0,1,2,0,0
46442710,0,0,1,4,0,3,3,2,0
46462726,0,0,0,3,0,1,3,0,0
46502720,0,0,0,2,1,1,2,1,0
46522674,1,0,2,1,1,1,1,0,0
46522722,2,2,1,1,0,1,2,0,1
46562692,0,0,0,2,0,1,2,0,0
46562722,0,0,0,2,1,0,2,0,0
46602676,0,0,0,2,1,1,2,1,0
46602700,1,1,1,0,1,0,1,0,0
46622668,3,3,1,1,0,1,1,0,1
46622720,1,1,1,1,1,1,1,0,0
46642712,0,0,0,2,0,0,2,0,0
46642736,0,0,0,3,0,0,3,0,0
46662682,0,0,1,2,1,2,2,0,0
46682698,1,1,1,1,1,2,1,1,0
46702674,0,0,0,1,1,0,1,0,0
46742676,1,1,1,2,1,1,2,1,0
46762724,3,3,0,0,0,0,1,0,1
46782690,2,1,1,0,1,0,1,0,1
46842692,0,0,0,1,0,0,1,0,0
46842710,1,1,1,0,1,0,1,0,0
46862694,0,0,1,2,0,1,2,0,0
46882726,1,1,0,1,0,0,1,0,0
46942670,0,0,1,3,1,1,2,1,0
46942692,0,0,0,1,0,0,1,0,0
46942710,1,0,0,1,0,0,1,0,0
46962676,3,3,2,1,0,0,2,0,1
46962682,0,0,2,2,1,2,3,1,0
46982696,1,1,0,1,0,1,1,0,0
47042684,2,2,2,1,1,1,2,2,1
47042738,0,0,1,3,0,0,3,0,0
47062718,0,0,0,3,0,2,3,0,0
47082664,0,0,0,2,0,0,2,0,0
47082720,1,1,0,1,0,0,1,0,0
47122662,0,0,0,2,0,1,2,0,0
47122698,0,0,0,2,1,1,2,0,0
47122706,1,1,1,0,1,1,1,1,0
47122726,3,3,1,1,0,0,2,0,1
47162666,1,1,1,0,1,1,1,0,0
47182690,4,4,1,1,2,0,1,0,2
47202670,2,2,1,0,1,1,0,1,1
47202740,0,0,0,1,0,1,1,0,0
47222654,2,2,1,1,1,0,1,1,1
47222676,1,1,1,0,1,0,1,0,0
47242638,1,1,1,1,1,0,0,1,0
47242740,0,0,0,2,0,1,2,0,0
47262634,0,0,0,2,0,0,1,0,0
47282676,0,0,1,1,1,0,1,0,0
47302694,3,3,2,1,0,3,2,1,1
47302738,0,0,0,2,0,1,2,0,0
47322694,0,0,0,2,0,1,2,0,0
47322744,4,3,1,2,1,0,2,0,2
47342710,3,3,1,1,0,0,1,0,1
47362636,0,0,0,1,1,0,1,0,0
47382700,3,3,0,0,0,0,1,0,1
47402702,0,0,0,1,1,0,1,0,0
47402716,0,0,1,2,0,1,2,0,0
47422704,1,1,2,1,1,1,2,1,0
47442660,2,3,0,0,1,0,0,0,1
47442674,3,3,1,0,1,1,1,1,1
47442702,2,2,1,0,1,0,1,0,1
47462636,1,1,0,1,1,0,1,0,0
47462692,1,1,0,0,1,0,0,0,0
47462712,2,2,2,1,0,1,2,0,1
47462736,2,2,1,1,1,1,2,0,1
47462746,0,0,0,2,1,0,2,0,0
47482734,3,3,2,3,1,0,3,0,1
47482742,1,0,2,3,0,1,3,1,0
47502700,2,2,1,0,1,1,1,0,1
47522704,2,1,1,0,1,0,1,0,1
47522710,0,0,0,2,1,1,2,0,0
47522738,3,3,0,0,0,0,1,0,1
47542736,0,0,1,3,1,1,3,1,0
47562650,2,2,0,0,1,0,0,0,1
47562664,3,2,1,0,1,0,1,0,1
47562696,2,2,2,1,1,1,1,0,1
47562706,0,0,1,2,0,0,2,0,0
47562710,0,0,1,2,0,1,2,0,0
47562732,1,0,1,1,1,1,2,0,0
47582644,2,2,0,0,1,0,0,0,1
47582730,3,3,2,1,2,1,2,0,1
47622700,2,2,1,1,1,0,1,0,1
47622718,2,2,0,0,1,0,1,0,1
47642668,2,2,1,0,1,3,0,1,1
47642682,3,3,1,0,1,1,0,0,1
47642704,3,3,2,1,0,0,1,0,1
47642728,0,0,1,2,1,1,3,1,0
47662652,3,4,1,0,0,1,1,0,1
47662698,2,2,0,0,1,2,0,1,1
47682646,2,3,0,0,1,2,1,1,1
47682690,0,0,0,1,0,0,1,0,0
47702678,2,2,1,0,1,1,0,0,1
47702714,1,1,0,1,1,0,1,0,0
47702722,0,0,1,1,0,1,1,0,0
47722698,1,1,3,0,0,2,1,1,0
47742642,3,2,0,0,1,1,0,0,1
47742660,1,1,0,0,1,0,0,0,0
47742674,0,0,0,0,0,0,0,0,0
47742710,3,3,1,0,1,0,0,0,1
47742728,0,0,0,2,0,0,1,0,0
47762666,4,4,0,0,0,0,0,0,2
47782686,3,3,1,0,1,2,0,1,1
47802696,0,0,0,1,1,0,1,0,0
47842680,2,2,0,0,1,2,0,0,1
47842688,1,1,1,0,1,0,1,0,0
27182008,3,3,0,0,0,0,0,1,1
27361846,4,4,0,0,0,0,0,1,2
27461842,3,3,0,0,2,2,0,0,1
27842206,0,0,0,1,2,0,1,0,0
28322234,1,1,0,1,2,0,1,0,0
28382160,1,0,0,0,2,1,0,0,0
28502212,1,1,0,1,2,0,0,0,0
28661894,2,2,0,0,0,0,0,0,1
28722000,1,2,0,0,0,0,0,0,0
45542782,0,0,0,1,0,2,1,0,0
45542800,3,4,1,0,0,1,0,0,1
45602780,0,0,1,3,0,2,3,1,0
45642800,3,3,1,0,0,2,0,0,1
